BoroName,BoroCode,BoroCD,CounDist,AssemDist,StSenDist,CongDist,StopName,Corner,BusStopID,Routes,Direction,Notes,Elected Official,WO #,Wireless Communication,Release Date,RTPI Complete,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,Location
Staten Island,5,502,50,64,23,11,"HYLAN BL & 
OLD TOWN RD
(SW Corner)
203695",,203695,"S78, S79+, X DOO",Southbound,South on Hylan Blvd to SI Mall and Bricktown Mall,Savino (SI),E84,NYCWiN,,,40.595557,-74.086167,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.086167 40.595557)
Brooklyn,3,305,37,54,18,7,"JAMAICA AV 
& HENDRIX ST
(NW Corner)
304636",,304636,Q56,Westbound,Broadway Junction,Espinal (Bk),E401,AT&T,10/24/2018,02/01/2019,40.680846,-73.891895,Cypress Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.891895 40.680846)
Staten Island,5,501,49,61,23,11,"RICHMOND TER 
& N BURGHER AV
(SE Corner)
200033",,200033,"S90 LTD, S40",Eastbound,St George,Oddo (SI),E354,AT&T,09/21/2018,12/20/2018,40.641784,-74.1155,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-74.1155 40.641784)
Staten Island,5,502,51,63,24,11,RICHMOND HILL RD & VASSAR ST           202990,,202990,"S61, S91 LTD, X17",Northbound / Eastbound,Northeast toward St. George or Verrazano Bridge to east midtown Manhattan,Oddo (SI),E216,NYCWiN,,,40.586159,-74.162561,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.162561 40.586159)
Queens,4,401,22,36,59,14,BROADWAY & 23 ST,SE,552171,Q104,EB,,Constantinedes (Qn),E118,AT&T,03/07/2020,02/09/2021,40.764346,-73.930229,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.930229 40.764346)
Bronx,2,207,11,78,33,13,"BEDFORD PK BL & JEROME AV
(SW Corner)
104085",,104085,"Bx10, Bx26, Bx28",Eastbound,Transfer to/from the 4 train at Bedford Park Blvd,Cohen (X),E89,NYCWiN,,,40.87347,-73.889546,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.889546 40.87347)
Queens,4,403,21,34,13,14,"JUNCTION BL &
ROOSEVELT AV
(NE Corner)
552001",,552001,Q72,Northbound,Transfer from Junction Blvd 7 train. North to LaGuardia Airport,Moya (Qn),E291,AT&T,06/08/2018,09/26/2018,40.749564,-73.869573,North Corona,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.869573 40.749564)
Brooklyn,3,312,38,51,17,10,39 ST & 8 AV,SE,302684,B35,EB,,Menchaca (Bk),E034,AT&T,10/22/2019,04/07/2020,40.647018,-73.996987,Sunset Park (East)-Borough Park (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.996987 40.647018)
Queens,4,401,22,34,12,14,DITMARS BL & STEINWAY ST,NW,550710,Q69,SB,,Constantinedes (Qn),E108,AT&T,03/07/2020,01/29/2021,40.77305,-73.906163,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.906163 40.77305)
Brooklyn,3,313,47,46,23,8,OCEAN PKWY & WEST AV,NW,300118,"B1, B4, B36",WB,,Adams (Bk),E186,AT&T,03/11/2021,06/03/2021,40.581609,-73.967352,Coney Island-Sea Gate,AE,,1,POINT (-73.967352 40.581609)
Brooklyn,3,304,37,53,18,7,"GATES AV &
WYCKOFF AV
(NW Corner)
504119",,504119,"B52, B26",Westbound,Downtown Brooklyn,Espinal (Bk),E310,AT&T,07/20/2018,12/07/2018,40.70005,-73.911769,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.911769 40.70005)
Staten Island,5,503,51,62,24,11,ROSSVILLE AV &POND ST(SE Corner)            203534,,203534,"S74, X17, X22",Northbound,"North toward St. George, or midtown Manhattan",Borelli (SI),E10,NYCWiN,,,40.551878,-74.211891,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.211891 40.551878)
Staten Island,5,503,51,62,24,11,"WOODROW RD & LENEVAR AV
(SW Corner)
203572",,203572,"X22, X17, S74",Northbound / Eastbound,Northeast on Arthur Kill Rd toward St. George or Manhattan via express bus,Oddo (SI),E41,NYCWiN,,,40.54144,-74.210081,Annadale-Huguenot-Prince's Bay-Woodrow,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.210081 40.54144)
Brooklyn,3,307,38,51,26,10,5 AV & 52 ST,NE,305357,B63,NB,,Menchaca (Bk),E122,AT&T,03/07/2020,04/08/2021,40.644183,-74.011174,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.011174 40.644183)
Brooklyn,3,307,38,51,26,10,5 AV & 53 ST,SW,305445,B63,SB,,Menchaca (Bk),E051,AT&T,11/21/2019,08/19/2020,40.643233,-74.012374,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.012374 40.643233)
Manhattan,1,106,4,73,28,12,"E 59 ST &
LEXINGTON AV
(SE Corner)
402379",,402379,"Q32, QM2, QM3, QM20",Northbound,Jackson Heights,Garodnick (M),E391,AT&T,,,40.761984,-73.967743,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.967743 40.761984)
Manhattan,1,112,10,72,31,13,"25 AV & 86 ST
(NE Corner)
300188",,402543,B3,Eastbound,"Transfer from 25 Av D train and B1 bus, east on Avenue U toward Bergen Beach",Treyger (K),E158,NYCWiN,,,40.856963,-73.932382,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.932382 40.856963)
Queens,4,413,31,29,14,5,SPRINGFIELD BL & 144 AV,NE,500687,"Q77, Q85",WB,,Richards (Qn),E172,AT&T,12/30/2020,05/20/2021,40.667131,-73.757121,Laurelton,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.757121 40.667131)
Queens,4,410,32,23,15,5,CROSS BAY BL & 149 AV,SE,550424,"Q21, Q41",NB,,Ulrich (Qn),E154,AT&T,10/30/2020,04/29/2021,40.67075,-73.842631,Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.842631 40.67075)
Staten Island,5,501,49,61,23,11,"RICHMOND TER 
& UNION AV
(SE Corner)
202994",,202994,S40,Eastbound,St George,Oddo (SI),E419,AT&T,11/15/2018,04/04/2019,40.636777,-74.157557,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,2,POINT (-74.157557 40.636777)
Queens,4,401,22,36,59,14,"ASTORIA BL & 
31 ST
(SW Corner)
550609",,550609,Q19,Eastbound,"Transfer from Astoria Blvd N, Q station east on Astoria Blvd toward downtown Flushing",Constantinides (Q),E14,NYCWiN,,,40.770085,-73.918304,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.918304 40.770085)
Staten Island,5,501,49,61,23,11,"CASTLETON AV &
CEBRA AV
(NW Corner)
200297",,200297,"S52, S46",Southbound,"West on Castleton Av to Mariner's Harbor or West Shore Plaza, or southeast on Cebra Av to Staten Island Hospital",Rose (SI),E50,NYCWiN,,,40.634635,-74.086666,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.086666 40.634635)
Brooklyn,3,312,39,44,17,9,CHURCH AV & MCDONALD AV,NW,307947,B35,WB,,Lander (Bk),E071,AT&T,01/16/2020,09/14/2020,40.642696,-73.979883,Kensington,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.979883 40.642696)
Staten Island,5,501,49,63,24,11,"VICTORY BL 
& CLOVE RD                  (SE Corner)
200544",,200544,"S61, S62, S66",Northbound,move one of the routes to the other pole,Rose (SI),E119,NYCWiN,,,40.616611,-74.102996,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.102996 40.616611)
Manhattan,1,106,4,73,59,12,"3 AV & E 42 ST
(NE Corner)
402679",,402679,"M101 (LTD), M102, M103",Northbound,"Transfer from Grand Central east exit and M42, headed north on 3rd Avenue",Garodnick (M),E168,AT&T,,,40.751085,-73.974122,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.974122 40.751085)
Brooklyn,3,307,39,44,20,10,PROSPECT PK SW & 10 AV,SW,305734,B68,SB,,Lander (Bk),E084,AT&T,01/27/2020,10/05/2020,40.659626,-73.977217,Windsor Terrace-South Slope,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.977217 40.659626)
Staten Island,5,503,51,62,24,11,ARTHUR KILL RD & VETERANS RD W (SW Corner)      202089,,202089,"X22, X17, S74",Northbound,"North toward St. George, or midtown Manhattan",Oddo (SI),E87,NYCWiN,,,40.557499,-74.207278,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-74.207278 40.557499)
Brooklyn,3,303,36,56,20,8,"FULTON ST & 
UTICA AV
(SE Corner)
307253",,307253,B25,Eastbound,"Transfer from Utica Av A, C trains & B46 SBS. East on Fulton St to Broadway Junction",Cornegy (Bk),E309,AT&T,07/18/2018,12/07/2018,40.67919,-73.928636,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.928636 40.67919)
Staten Island,5,501,49,63,24,11,"VICTORY BL & ONTARIO AV
(SE Corner)
200543",,200543,"S66, S62, S61",Eastbound,St George,Oddo (SI),E375,AT&T,09/28/2018,12/24/2018,40.61585,-74.104658,Westerleigh-Castleton Corners,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.104658 40.61585)
Staten Island,5,501,49,61,23,11,"TARGEE ST 
& PALMA DR
(NE Corner)
201612",,201612,"S76, S74",Northbound,St George,Oddo (SI),E396,AT&T,10/16/2018,12/24/2018,40.612359,-74.085058,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.085058 40.612359)
Queens,4,403,22,34,13,14,31 AV & 77 ST,NW,551603,Q47,SB,,Constantinedes (Qn),E106,AT&T,03/07/2020,01/28/2021,40.758825,-73.890835,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.890835 40.758825)
Manhattan,1,103,1,65,27,10,MADISON ST &CLINTON ST,,402107,M22,Westbound,West on Madison Street to Battery Park City,Chin (M),E220,AT&T,,,40.712931,-73.98744,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.98744 40.712931)
Manhattan,1,103,1,65,27,10,"PARK ROW & 
OLIVER ST
(SE Corner)
404857",,404857,"M103, M9",Northbound,North on Bowery and 3rd Av toward East Harlem or northeast toward Stuy-Town,Chin (M),E159,AT&T,,,40.713374,-73.998679,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.998679 40.713374)
Manhattan,1,107,6,67,47,12,"BROADWAY 
& W 86 ST
(SW Corner)
403162",,403162,M104,Southbound,Transfer from 86 St 1 train. South on Broadway to 42nd St,Rosenthal (Mn),E298,AT&T,06/21/2018,11/05/2018,40.788066,-73.976942,Upper West Side (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.976942 40.788066)
Queens,4,413,27,33,14,5,HEMSTEAD AV & SPRINGFIELD BL,SE,500119,"Q2, Q27, Q83",NB,,Miller (Qn),E067,AT&T,01/02/2020,05/19/2021,40.713163,-73.735765,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.735765 40.713163)
Manhattan,1,108,4,76,28,12,"E 67 ST & 2 AV
403504",,403504,M66,Westbound,"West on 67th Street, and across the park to Lincoln Center",Garodnick (M),E120,NYCWiN,,,40.76583,-73.961084,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.961084 40.76583)
Staten Island,5,503,51,62,24,11,"BLOOMINGDALE RD & ALYSIA CT
(NE Corner)
250039",,250039,"S55, X17, X22",Northbound,North to Rossville or east midtown Manhattan,Oddo (SI),E44,NYCWiN,,,40.53752,-74.217724,Annadale-Huguenot-Prince's Bay-Woodrow,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.217724 40.53752)
Staten Island,5,501,49,61,24,11,"VICTORY BL 
& CEBRA AV          (SW Corner)
203709",,203709,"S48, S61, S62",Westbound,move routes to the other pole,Rose (SI),E117,AT&T,,,40.633778,-74.085986,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.085986 40.633778)
Brooklyn,3,306,38,51,26,10,VAN BRUNT ST & SULLIVAN ST,SE,305097,B61,NB,,Menchaca (Bk),E025,AT&T,10/04/2019,05/01/2020,40.677757,-74.012326,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,POINT (-74.012326 40.677757)
Brooklyn,3,302,33,52,26,10,ADAMS ST BETWEEN FULTON ST & JOHNSON ST,NW,307460,"B25, B38, B41, B52",EB,,Levin (Bk),E183,AT&T,02/05/2021,06/10/2021,40.69256,-73.989131,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.989131 40.69256)
Manhattan,1,108,5,68,28,12,E 96 ST/3 AV                                      401942,,401942,M96,Eastbound,"Transfer from 3rd Av buses, east on 96th Street to Metropolitan Hospital",Kallos (M),E182,AT&T,,,40.784948,-73.948998,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-73.948998 40.784948)
Bronx,2,205,14,86,31,13,"UNIVERSITY AV & 
W BURNSIDE AV 100155",,100155,"BX3, BX40, BX42",Eastbound / Northbound,"East on Burnside Av for Bx40 and Bx42, north on University Av for Bx3, Near Bronx Community College",Cabrera (X),E38,NYCWiN,,,40.854707,-73.911236,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.911236 40.854707)
Manhattan,1,104,3,75,47,12,10 AV & W 25 ST,NE,401400,M11,NB,,Johnson (Mn),E004,AT&T,08/23/2019,06/17/2020,40.749222,-74.002905,Chelsea-Hudson Yards,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-74.002905 40.749222)
Manhattan,1,104,3,75,47,12,W 50 ST & 10 AV,SE,402165,M50,EB,,Johnson (Mn),E052,AT&T,11/21/2019,03/12/2021,40.764502,-73.991704,Hell's Kitchen,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.991704 40.764502)
Staten Island,5,503,50,64,24,11,HYLAN BL & GUYON AV                                       201016,,201016,"X1, S79 SBS, S78",Northbound,North on Hylan Blvd toward Verrazano Bridge to Bay Ridge or midtown Manhattan,Matteo (Oddo) (SI),E228,NYCWiN,,,40.560575,-74.119668,Oakwood-Richmondtown,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,POINT (-74.119668 40.560575)
Manhattan,1,112,10,72,31,13,W 181 ST & ST NICHOLAS AV,SW,403656,"Bx3, Bx11, Bx13, Bx35, Bx36, Bx36 LTD",EB,,Rodriguez (Mn),E137,AT&T,08/27/2020,06/16/2021,40.849329,-73.933878,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.933878 40.849329)
Queens,4,411,23,24,11,6,"UNION TPK & SPRINGFIELD BL
(SW Corner)
502331",,502331,"Q46, Q46 LTD",Eastbound,"Transfer from Springfield Blvd buses, east on Union Turnpike toward LIJ-Med Center, Glen Oaks",Grodenchik (Q),E90,NYCWiN,,,40.73564,-73.746645,Oakland Gardens-Hollis Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.746645 40.73564)
Staten Island,5,501,50,63,24,11,"VICTORY BL & JEWETT AV
(NE Corner)
201422",,201422,"S92 LTD, S93 LTD, X12 & X42 DOO",Westbound,West on Victory Blvd to College of SI & Fresh Kills,Matteo (SI),E60,NYCWiN,,,40.612624,-74.130404,Westerleigh-Castleton Corners,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.130404 40.612624)
Staten Island,5,501,49,61,23,11,"MORNINGSTAR RD
& WALKER ST
202685",,202685,"S94 LTD, S89 LTD, S44",Westbound,--,Oddo (SI),E107,NYCWiN,,,40.631046,-74.147063,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.147063 40.631046)
Brooklyn,3,306,39,44,26,10,5 AV & 5 ST,NE,305380,B63,NB,,Lander (Bk),E087,AT&T,02/04/2020,11/06/2020,40.671805,-73.983994,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.983994 40.671805)
Manhattan,1,108,4,73,28,12,"LEXINGTON AV &
E 68 ST
(SW Corner)
403422",,403422,"M101 (LTD), M102, M103",Southbound,"Adjacent to Hunter College, south down Lexington Av. Transfer from 68 St-Hunter College 6 subway",Garodnick (M),E165,AT&T,,,40.767713,-73.964248,Upper East Side-Carnegie Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.964248 40.767713)
Manhattan,1,108,5,76,28,12,"YORK AV & 
E 79 ST
(SW Corner)
402348",,402348,M31,Southbound,"Transfer from M79, south on York Avenue",Kallos (M),E69,NYCWiN,,,40.771081,-73.950753,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.950753 40.771081)
Brooklyn,3,312,44,48,22,9,"18 AV & 
MCDONALD AV
(SW Corner)
300817",,300817,B8,Eastbound,Transfer from 18th Av F train. Northeast to Brownsville,Yeger (Bk),E344,AT&T,09/14/2018,11/27/2018,40.63058,-73.977328,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.977328 40.63058)
Brooklyn,3,306,39,44,26,10,9 ST & 5 AV,SW,306069,B61,SB,,Lander (Bk),E083,AT&T,01/27/2020,08/28/2020,40.668915,-73.985988,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.985988 40.668915)
Staten Island,5,501,49,63,23,11,"VANDERBILT AV & TOMPKINS AV
(SW Corner)
202519",,202519,"S86 LTD, S76",Southbound,Oakwood Beach,Oddo (SI),E403,AT&T,11/02/2018,01/22/2019,40.620135,-74.077269,Tompkinsville-Stapleton-Clifton-Fox Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.077269 40.620135)
Queens,4,401,22,36,12,14,"STEINWAY ST & BROADWAY
(NE Corner)
552044",,552044,Q101,Northbound,"Transfer from Q104 bus on Broadway, north on  Steinway St.",Constantinides (Q),E40,NYCWiN,,,40.759268,-73.918722,Astoria (East)-Woodside (North),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.918722 40.759268)
Queens,4,403,25,39,13,6,74 ST & 37 AV(SE Corner)                                                            553059,,553059,"Q49, Q47",Eastbound,"Transfer from Roosevelt Av-Jackson Heights E, F, M. R. 7. North to Marine Air Terminal",Katz (Qn),E260,AT&T,04/11/2018,10/26/2018,40.748745,-73.891737,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.891737 40.748745)
Brooklyn,3,303,36,56,25,8,"BROADWAY 
& MYRTLE AV
(NW Corner)
307320",,307320,B54,Westbound,"Transfer from Myrtle Av J, M, Z and B46, B47. West on Myrtle Av to DT Brooklyn",Cornegy (Bk),E308,AT&T,07/18/2018,02/01/2019,40.69693,-73.935966,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.935966 40.69693)
Queens,4,403,22,34,13,14,80 ST & 25 AV,NW,551602,Q47,SB,,Constantinedes (Qn),E113,AT&T,03/07/2020,01/14/2021,40.762983,-73.888693,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.888693 40.762983)
Manhattan,1,105,4,75,28,12,"E 32 ST & 5 AV
(SE Corner)
400555",,400555,"X17, X10, Q32, M04",Southbound,Jackson Heights,Garodnick (M),E391,AT&T,,,40.746998,-73.985295,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.985295 40.746998)
Staten Island,5,501,49,63,23,11,"TOMPKINS AV & SAINT MARYS AV
(SW Corner)
201282",,201282,"S78, S52",Southbound,Bricktown Mall,Oddo (SI),E385,AT&T,10/05/2018,12/24/2018,40.613787,-74.072302,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.072302 40.613787)
Manhattan,1,108,4,73,28,12,MADISON AV & E 74 ST                                      405392,,400031,"M1, M3, M4",Northbound,--,Garodnick (M),E232,NYCWiN,,,40.772774,-73.96461,Upper East Side-Carnegie Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.96461 40.772774)
Manhattan,1,107,6,67,47,12,"W 72 ST & 
CENTRAL PK W
(SW Corner)
402269",,402269,M72,Eastbound,"Transfer from 72nd St A, B, C, D, east across park",Rosenthal (Mn),E306,AT&T,07/05/2018,11/05/2018,40.776206,-73.976177,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.976177 40.776206)
Manhattan,1,103,1,65,27,10,"ESSEX ST & 
E BROADWAY
(NW Corner)
404287",,404287,M9,Southbound  &  Westbound,Southwest on E Broadway toward Battery Park City & World Trade Center,Chin (M),E147,NYCWiN,,,40.714094,-73.990301,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.990301 40.714094)
Staten Island,5,501,49,61,23,11,"CASTLETON AV & 
PT RICHMOND AV
(SW Corner)
200260",,200260,"S46, S96 LTD",Eastbound,East on Castleton Av to St. George,Savino (SI),E97,AT&T,,,40.635935,-74.135065,Port Richmond,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.135065 40.635935)
